tag,model,y_mode,repeat,fold,spearman,pearson,mae,rmse,n,target,members
SEQ_CDR,Ridge_grid,raw,3,4,0.3656126482213439,0.3344365229576801,1.2453972766316528,1.532400730536404,23.0,HIC,
SEQ_CDR,ElasticNet,raw,3,4,0.5553359683794467,0.44577149799607463,0.540870002983464,0.68700100266769,23.0,HIC,
SEQ_CDR,PLS,raw,3,4,0.5889328063241107,0.4936134249963014,0.7602100824247999,0.95008288396294,23.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,0,0,0.3352941176470588,0.4715345005990917,0.5630555386023659,0.7581141232694663,35.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,0,0,0.4087120956867883,0.5116406815702228,0.4403530396466275,0.6680538861901479,35.0,HIC,
BIO_SHORTCUT,PLS,raw,0,0,0.34481792717086834,0.4419990648003079,0.5346553324408666,0.753937590804143,35.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,0,1,0.10605134598150141,-0.040800826955592895,0.5228485171278789,0.8313570147768726,34.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,0,1,0.22037136153583523,0.06253085578280658,0.47927195721855576,0.7833695996396488,34.0,HIC,
BIO_SHORTCUT,PLS,raw,0,1,0.1728300753675477,0.02948455829506541,0.49965809517843013,0.8061949812905996,34.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,0,2,0.5789473684210527,0.5687582346637438,0.4455514086359399,0.590430309275306,20.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,0,2,0.5774436090225563,0.6250781697827716,0.3899937367919201,0.5350558376645064,20.0,HIC,
BIO_SHORTCUT,PLS,raw,0,2,0.5218045112781955,0.5995926183784276,0.3987421159550739,0.5527602800660804,20.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,0,3,0.3883399209486166,0.4687894210570693,0.5305153237623202,0.6500958679644351,23.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,0,3,0.3685770750988142,0.40399757379935924,0.5127880715999124,0.6331435782133503,23.0,HIC,
BIO_SHORTCUT,PLS,raw,0,3,0.4367588932806324,0.4157505838583267,0.5569945328020045,0.6587018975446289,23.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,0,4,0.19192162113930925,0.2508339663161983,0.6895522306800751,0.9978936143390058,50.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,0,4,0.3713647659397488,0.47078707399529024,0.6413315882095074,0.8662435036704689,50.0,HIC,
BIO_SHORTCUT,PLS,raw,0,4,0.3614139637320576,0.4528420302231232,0.6527188349953229,0.8747151185584723,50.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,1,0,0.13355745877209255,-0.04818236316864735,0.5704105655202697,0.8388032329910294,34.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,1,0,0.17895621661474556,0.04929577819906264,0.4842039335136254,0.7833826844691394,34.0,HIC,
BIO_SHORTCUT,PLS,raw,1,0,0.17466381622025376,0.0048406116891774875,0.5483752461409325,0.8185724365752444,34.0,HIC,
