candidate_id,stage,mae_cv_public_median,mae_cv_public_p05,mae_cv_public_p95,mae_cv_public_p_lt0,mae_public_private_median,mae_public_private_p05,mae_public_private_p95,mae_public_private_p_lt0,mae_cv_private_median,mae_cv_private_p05,mae_cv_private_p95,mae_cv_private_p_lt0,pear_cv_public_median,pear_cv_public_p05,pear_cv_public_p95,pear_cv_public_p_lt0,pear_public_private_median,pear_public_private_p05,pear_public_private_p95,pear_public_private_p_lt0,pear_cv_private_median,pear_cv_private_p05,pear_cv_private_p95,pear_cv_private_p_lt0
CAND_01488,screen_1000,0.6,-0.09999999999999999,0.8999999999999998,0.085,0.19999999999999998,-0.7,0.8999999999999998,0.317,0.3,-0.7,0.8999999999999998,0.341,0.7999999999999999,0.6000000000000001,1.0,0.007,0.6000000000000001,-0.7999999999999999,1.0,0.234,0.6000000000000001,-0.6000000000000001,1.0,0.2
CAND_01515,screen_1000,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.261,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.203,0.6,-0.2049999999999997,0.9999999999999999,0.132,0.6000000000000001,-0.19999999999999998,1.0,0.053,0.6000000000000001,-0.39999999999999997,1.0,0.112,0.6000000000000001,-0.39999999999999997,1.0,0.112
CAND_01552,screen_1000,0.7,-0.3,0.9999999999999999,0.154,0.3,-0.6,0.8999999999999998,0.268,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.22,0.6000000000000001,-0.39999999999999997,1.0,0.101,0.7999999999999999,-0.39999999999999997,1.0,0.115,0.6000000000000001,0.0,1.0,0.049
CAND_01665,screen_1000,0.3,-0.6,0.8999999999999998,0.342,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.239,0.7,-0.19999999999999998,0.9999999999999999,0.069,0.6000000000000001,-0.39999999999999997,1.0,0.146,0.6000000000000001,-0.39999999999999997,1.0,0.174,0.7999999999999999,0.39999999999999997,1.0,0.02
CAND_01717,screen_1000,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.219,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.198,0.6,-0.3,0.8999999999999998,0.157,0.6000000000000001,0.0,1.0,0.026,0.6000000000000001,-0.7999999999999999,1.0,0.211,0.7999999999999999,-0.39999999999999997,1.0,0.122
CAND_01785,screen_1000,0.6,-0.39999999999999997,0.8999999999999998,0.205,0.49999999999999994,-0.5049999999999997,0.8999999999999998,0.191,0.6,-0.39999999999999997,0.8999999999999998,0.176,0.7999999999999999,0.0,1.0,0.04,0.6000000000000001,-0.4099999999999994,1.0,0.141,0.6000000000000001,-0.39999999999999997,1.0,0.101
CAND_01920,screen_1000,0.3,-0.7,0.8999999999999998,0.318,0.49999999999999994,-0.6,0.8999999999999998,0.209,0.7,-0.19999999999999998,0.9999999999999999,0.097,0.6000000000000001,-0.39999999999999997,1.0,0.203,0.6000000000000001,-0.39999999999999997,1.0,0.186,0.7999999999999999,0.0,1.0,0.016
CAND_01984,screen_1000,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.209,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.155,0.6,-0.39999999999999997,0.8999999999999998,0.152,0.6000000000000001,-0.39999999999999997,1.0,0.081,0.6000000000000001,-0.39999999999999997,1.0,0.129,0.6000000000000001,-0.19999999999999998,1.0,0.079
CAND_01990,screen_1000,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.284,0.3,-0.6,0.8999999999999998,0.231,0.7,-0.09999999999999999,0.9999999999999999,0.079,0.6000000000000001,-0.39999999999999997,0.7999999999999999,0.14,0.6000000000000001,-0.6000000000000001,1.0,0.163,0.7999999999999999,0.39999999999999997,1.0,0.016
CAND_02088,screen_1000,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.216,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.2,0.7,-0.39999999999999997,0.9999999999999999,0.138,0.6000000000000001,-0.39999999999999997,1.0,0.168,0.6000000000000001,-0.6000000000000001,1.0,0.13,0.7999999999999999,0.0,1.0,0.027
CAND_02127,screen_1000,0.3,-0.7049999999999996,0.8999999999999998,0.376,0.3,-0.6,0.8999999999999998,0.288,0.7,-0.09999999999999999,0.8999999999999998,0.081,0.6000000000000001,-0.39999999999999997,1.0,0.137,0.6000000000000001,-0.7999999999999999,1.0,0.193,0.6000000000000001,0.0,1.0,0.043
CAND_02148,screen_1000,0.7,-0.19999999999999998,0.9999999999999999,0.101,0.3,-0.5049999999999997,0.8999999999999998,0.241,0.3,-0.49999999999999994,0.8999999999999998,0.311,0.7999999999999999,0.0,1.0,0.026,0.6000000000000001,-0.39999999999999997,1.0,0.155,0.6000000000000001,-0.39999999999999997,1.0,0.154
CAND_02181,screen_1000,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.274,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.217,0.7,-0.2049999999999997,0.9999999999999999,0.101,0.6000000000000001,-0.39999999999999997,1.0,0.082,0.6000000000000001,-0.39999999999999997,1.0,0.119,0.7999999999999999,0.0,1.0,0.048
CAND_02212,screen_1000,0.49999999999999994,-0.39999999999999997,0.8999999999999998,0.209,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.166,0.6,-0.39999999999999997,0.9999999999999999,0.171,0.7999999999999999,-0.39999999999999997,1.0,0.087,0.6000000000000001,-0.39999999999999997,1.0,0.116,0.6000000000000001,-0.39999999999999997,1.0,0.07
